ticket,symbol,type,open_time,close_time,pnl,volume,duration_minutes
29356320,USDJPY,sell,2026-02-25 02:50:02,2026-02-25 02:57:23,0.04,0.01,7.35
29357822,USDJPY,buy,2026-02-25 05:10:34,2026-02-25 05:10:54,0.08,0.01,0.33
29360487,USDJPY,sell,2026-02-25 05:36:10,2026-02-25 06:54:41,0.04,0.01,78.52
29363216,USDJPY,buy,2026-02-25 08:45:40,2026-02-25 09:05:43,0.06,0.01,20.05
29366688,USDJPY,sell,2026-02-25 11:33:40,2026-02-25 11:33:43,0.07,0.01,0.05
29356619,EURUSD,sell,2026-02-25 12:30:02,2026-02-25 12:30:57,0.06,0.01,0.92
29357453,GBPUSD,sell,2026-02-25 12:30:02,2026-02-25 12:31:10,0.06,0.01,1.13
29367590,GBPUSD,buy,2026-02-25 14:47:29,2026-02-25 14:48:40,0.06,0.01,1.18
29377696,GBPUSD,sell,2026-02-25 15:55:57,2026-02-25 15:58:52,0.05,0.01,2.92
29372396,USDJPY,sell,2026-02-25 16:32:38,2026-02-25 16:33:06,0.04,0.01,0.47
29367549,EURUSD,buy,2026-02-25 17:13:55,2026-02-25 17:14:03,0.11,0.01,0.13
29380066,GBPUSD,buy,2026-02-25 17:14:05,2026-02-25 17:16:12,0.07,0.01,2.12
29381404,USDJPY,buy,2026-02-25 21:29:11,2026-02-25 21:33:07,0.03,0.01,3.93
29392375,USDJPY,sell,2026-02-26 00:02:08,2026-02-26 01:23:00,0.07,0.01,80.87
29395174,USDJPY,buy,2026-02-26 04:40:42,2026-02-26 04:42:12,0.05,0.01,1.5
29400875,USDJPY,sell,2026-02-26 07:17:33,2026-02-26 07:51:43,0.12,0.01,34.17
29401903,USDJPY,buy,2026-02-26 08:00:07,2026-02-26 08:04:14,0.04,0.01,4.12
29383776,GBPUSD,sell,2026-02-26 06:30:00,2026-02-26 09:07:47,0.06,0.01,157.78
29376730,EURUSD,sell,2026-02-26 10:07:49,2026-02-26 11:04:52,0.06,0.01,57.05
29395332,GBPUSD,buy,2026-02-26 13:17:51,2026-02-26 14:56:09,0.05,0.01,98.3
29411952,USDJPY,buy,2026-02-26 15:58:26,2026-02-26 16:04:04,0.04,0.01,5.63
29416285,USDJPY,sell,2026-02-26 16:43:48,2026-02-26 16:44:23,0.04,0.01,0.58
29412427,GBPUSD,sell,2026-02-26 17:16:07,2026-02-26 17:16:19,0.06,0.01,0.2
29412574,EURUSD,sell,2026-02-26 17:25:18,2026-02-26 17:25:26,0.06,0.01,0.13
29420899,USDJPY,buy,2026-02-26 17:26:10,2026-02-26 17:31:27,0.04,0.01,5.28
29422623,GBPUSD,buy,2026-02-26 17:45:10,2026-02-26 17:46:05,0.05,0.01,0.92
29427743,GBPUSD,buy,2026-02-26 21:02:45,2026-02-26 21:10:33,0.08,0.01,7.8
29426948,USDJPY,sell,2026-02-26 21:52:07,2026-02-26 21:55:36,0.04,0.01,3.48
29399372,EURUSD,buy,2026-02-26 22:12:01,2026-02-26 22:40:37,0.04,0.01,28.6
29435870,USDJPY,buy,2026-02-27 03:30:45,2026-02-27 03:52:04,0.04,0.01,21.32
29446428,USDJPY,sell,2026-02-27 05:00:16,2026-02-27 05:30:44,0.04,0.01,30.47
29448164,USDJPY,buy,2026-02-27 07:30:29,2026-02-27 07:38:03,0.04,0.01,7.57
29435440,GBPUSD,sell,2026-02-27 08:21:06,2026-02-27 08:22:34,0.17,0.01,1.47
29438639,EURUSD,buy,2026-02-27 09:45:00,2026-02-27 09:45:06,0.09,0.01,0.1
